ladin	italian	english	resource
L program l'é stat fenì via co na "vijita de studie" a la comunanza svedeisa/finlandeisa de Vaasa te la Finlandia, na esperienza de gran segnificat per la situazion del bilinguism te la publica aministrazion e en ùltima co na vijita ai operatores de n comun de la Val Badia per na verifica e n confront coi sistemes touc tel Südtirol per meter a jir l "trilinguism" (talian-todesch-ladin) te la valèda ladines.	Il programma è stato completato con una "visita di studio" presso la comunità svedese/finlandese di Vaasa (Finlandia), giudicata particolarmente significativa per le esperienze di bilinguismo nella pubblica amministrazione, e con un incontro con gli operatori di un Comune della Val Badia per una verifica ed un confronto con le metodologie adottate in Alto Adige per l'applicazione del "trilinguismo" (italiano-tedesco-ladino) nelle vallate ladine.	The programme was rounded off with a "study visit" to the Swedish/Finnish community of Vaasa (Finland), which was considered particularly significant for experiences of bilingualism in public administration, and a meeting with the operators of a municipality in Val Badia to verify and compare with the methodologies adopted in South Tyrol for the application of "trilingualism" (Italian-German-Ladin) in Ladin valleys.	intervento1
L'é dotrei rejon prinzipèles che spiega percheche l'é stat cerì de meter a jir, enceben che provijoria, na strutura zentrèla per la gestion de la ativitèdes en materia de "bilinguism" e per fèr fora la costions leèdes a chest argoment.	La scelta di attivare, almeno in via provvisoria, una struttura centralizzata per la gestione coordinata delle attività in materia di "bilinguismo" e per affrontare le problematiche ad esse collegate si è resa necessaria per alcuni motivi principali.	The decision to set up, at least on a provisional basis, a centralised structure for the coordinated management of 'bilingualism' activities and for dealing with related issues became necessary for a few main reasons.	intervento1
Prinzipies ispiradores, fins e obietives programatics.	Principi ispiratori, fini ed obiettivi programmatici.	Guiding principles, aims and policy objectives.	moena
Costituzion del Comun general de Fascia	Costituzione del Comun general de Fascia 	Constitution of the Comun general de Fascia 	fascia
Co la  man l ge aea moscià a Us-ter l sas olache dovìa i fossa stac sora net.	Con un breve cenno aveva indicato ad Us-ter la roccia dietro la quale avrebbero  pernottato e mentre il figlio era andato a deporre i bastoni e le pelli colme di "frutti della terra", 	With a brief nod, he pointed Us-ter to the rock behind which they were to spend the night, and while the son had gone to lay down his sticks and skins full of 'fruits of the earth', 	amervolesse
L Consei general vegn metù sù co la prejenza de la maoranza di componenc, en seconda convocazion con amàncol n terz di componenc,  4.	Il Consei general è regolarmente costituito con la presenza della maggioranza dei componenti; in seconda convocazione con almeno un terzo dei componenti.	The General Council is duly constituted with the presence of the majority of its members; in second call with at least one third of its members.	fascia
Endèna che l fi pojèa jù  i bachec e la tasces pienes de "fruc-de-la-tera", Aa-gar l'era jit jù apede i leghes.	Aa-gar era sceso ai laghetti.	Aa-gar had gone down to the ponds.	amervolesse
L golachec.	Il pettirosso.	Robin.	montipallidi
"Amer volesse" l'é na regoeta de Lieder su tesć d'amor del  poet-pitor Claus Soraperra.	"Amer volesse" è un ciclo di Lieder su testi d'amore del poeta-pittore Claus Soraperra.	"Amer volesse" is a cycle of Lieder based on love lyrics by the poet and painter Claus Soraperra.	amervolesse
I ac de carater generèl del Comun general e i prozesc a ousc di òrghegn colegiai pervedui da chest statut, i vegn scric jù sibie per talian che per ladin  5.	Gli atti di carattere generale del Comun general nonché i processi verbali degli organi collegiali previsti da questo statuto, sono redatti sia in lingua italiana che ladina.	The general acts of the Communal General as well as the minutes of the collective bodies provided for by this statute are drafted in both Italian and Ladin.	fascia
L porta inant n dret órden del teritorie; l defen la sanità di zitadins e l laora per l viver dessema de la desvaliva creatures viventes; l dèsc didament per la soluzion del besegn de la pruma cèsa; l valorisea l patrimonie storich, artistich e la tradizions culturales.	Promuove l'equilibrato assetto del territorio; tutela la salute dei cittadini ed opera per la coesistenza delle diverse specie viventi; favorisce la soluzione del bisogno abitativo; valorizza il patrimonio storico, artistico e le tradizioni culturali.	It promotes balanced spatial planning; it protects the health of citizens and works for the coexistence of different living species; it favours the solution of housing needs; it enhances the historical and artistic heritage and cultural traditions.	moena
Estra la formazion di dozenc, l medemo Istitut, che se emprevèl de n grop de esperc e consulenc tel ciamp linguistich e didatich, l'à rencurà i materièi didaticsenjigné aposta te libres e etres mateièi e dialoghes touc sù su veta.	Oltre alla formazione dei docenti, lo stesso Istituto, avvalendosi di un team di esperti e consulenti in campo linguistico e didattico, ha curato la predisposizione di materiali didattici specifici raccolti in dispense e di esempi di dialoghi registrati su audiocassetta.	In addition to teacher training, the Institute itself, with the help of a team of linguistic and didactic experts and consultants, prepared specific teaching materials collected in handouts and examples of dialogues recorded on audiocassette.	intervento1
I conseieres cogn se astegnir, arbandonan la sentèda, canche ic é diretamenter o endiretamenter enteressé a na delibrazion, aldò de la despojizions de la leges en doura.	I consiglieri devono astenersi, assentandosi dall'adunanza, quando siano direttamente od indirettamente interessati ad una deliberazione, secondo le vigenti disposizioni di legge.	Councillors must abstain, by absenting themselves from the meeting, when they are directly or indirectly interested in a resolution, in accordance with the applicable legal provisions.	moena
N regolament aposta disciplinea la modalitèdes, la formes, l'organisazion e i caji de esclujion del derit de azess, tegnan cont di prinzipies contegnui te la leges en doura e soraldut te la lege dai 7 de aost 1990, nr 241 e te la L.R. dai 31 de messèl 1993, nr 13.	Apposito regolamento disciplina le modalità, le forme, l'organizzazione e i casi di esclusione del diritto di accesso, osservando i princìpi contenuti nelle leggi vigenti inmateria ed in particolare nella legge 7 agosto 1990, n. 241 e nella L.R. 31 luglio 1993, n.13. 	Special regulations govern the procedures, forms, organisation and cases of exclusion of the right of access, observing the principles contained in the laws in force on the subject and in particular in Law No 241 of 7 August 1990 and Regional Law No 13 of 31 July 1993. 	moena
Aldò de la modalitèdes revardentes, stabilides tel regolament aposta, ti concorsc per i posc' de dependent del Comun, l sarà tegnù cont de la cognoscenza del ladin, per l fin de la valutazion e de la determinazion di ponc revardenc la graduatoria.	Secondo le modalità al riguardo stabilite nell'apposito regolamento, nei concorsi ai posti delle qualifiche di dipendente comunale, sarà oggetto di specifica valutazione e relativo punteggio, ai fini della formazione della graduatoria, la conoscenza della lingua ladina. 	According to the modalities established in this regard in the appropriate regulation, in competitions for municipal employee positions, knowledge of the Ladin language will be specifically assessed and scored for the purposes of the ranking list. 	moena
I fac ordenères de la comunanza vegnìa rejoné tel comun ordinario, la radunanza, dedant dal capitano, di procuradores e di omegn de responeta, doi per régola, chiamé coscita percheche i aea l'encèria de binèr sù la opinion de si vejins su la desvaliva proponetes.	Gli affari ordinari della comunità erano decisi nel comun ordinario, cioè la riunione, davanti al capitano, dei procuratori e degli uomini di risposta, due per regola, chiamati così perché avevano l'incarico di raccogliere l'opinione dei loro vicini sulle varie proposte.	The ordinary business of the community was decided in the ordinary commune, i.e. the meeting, before the captain, of the procurators and answer men, two per rule, so called because they were in charge of gathering the opinion of their neighbours on the various proposals.	fascia
L Procurador nominea, anter i membres che l'é stat lità a na vida direta o anter i membres del Consei di ombolc del Comun general de Fascia, l vize procurador che l tol sie post canche l mencia o tel cajo che no l podessa esser e ti etres caji pervedui da l'artìcol 17.	Il Procurador nomina, fra i membri eletti a suffragio universale o tra i membri del Consei di ombolc del Comun general de Fascia, il vice procurador che lo sostituisce nei casi di assenza o impedimento temporaneo e negli altri casi previsti dall'articolo 17.	The Procurador appoints, from among the members elected by universal suffrage or from among the members of the Consei di ombolc del Comun general de Fascia, the deputy procurador who replaces him in cases of absence or temporary inability to attend and in the other cases provided for in Article 17.	fascia
Su la stema l'é sù l pèster storich e la bandiera l'é chela dai set colores.	Lo stemma è rappresentato dallo storico pastore e la bandiera è quella a sette colori.	The coat of arms is represented by the historical shepherd and the flag is the seven-coloured one.	fascia
LENGAZ E NEVA TECNOLOGIES	LINGUA E NUOVE TECNOLOGIE	LANGUAGE AND NEW TECHNOLOGIES	intervento1
Funzions del Consei de procura	Funzioni del Consei de procura	Functions of the Consei de procura	fascia
Stampa la scheda.	Stampa le schede.	Print out the sheet.	montipallidi
Taa fora i paesajes sui ores.	Ritaglia lungo la linea tratteggiata i paesaggi.	Cut out the landscapes by cutting along the dotted line.	montipallidi
Me gode a fèr madalenzes e a fèr despec.	Sono bravissimo a combinare guai e a fare dispetti.	I'm really good at making trouble and playing pranks.	montipallidi
Te daré na man a parèr demez Smok e a comedèr ite la madalenzes che l'à fat.	Vi aiuterò a scacciare Smok e a riparare i guai che ha combinato.	I'll help you to chase Smok away and sort out the problems that he's caused.	montipallidi
Chesta funzions, i doveres e la ativitèdes vegnarà endrezèdes dal Comun general a na moda da didèr la crescimonia zivila e economich-sozièla de la popolazion, renfornzèr la unità, l sentiment de partegnuda e la partezipazion, luran per sia individuazion, desche Comun general de Fascia che à enteresc e obietives sies, tel chèder te la più gran comunità provinzièla.	Le predette funzioni, i compiti e le attività saranno organizzate dal Comun general in modo da favorire anche la crescita civile ed economico-sociale della popolazione, da rafforzarne l'unità, il senso di appartenenza e la partecipazione, concorrendo alla propria individuazione, come Comun general de Fascia avente interessi ed obiettivi propri, nel quadro della più vasta comunità provinciale.	The aforementioned functions, tasks and activities will be organised by the Comun general in such a way as to also favour the civil and economic-social growth of the population, to strengthen its unity, sense of belonging and participation, contributing to its identification as the Comun general de Fascia with its own interests and objectives, within the framework of the broader provincial community.	fascia
La gnignola la é ja encolorida.	La lucertola è già colorata.	The lizard is already coloured in.	montipallidi
L miorament de la prestazions del personal vegn arjont ence slarian fora la cognoscenza de strumenc informatics ti ofizies e sie conleament e integrazion coi sistemes informatics e statistics publics, e co la responsabilisazion di dependenc.	Il miglioramento delle prestazioni del personale viene perseguito anche mediante l'uso diffuso di strumenti informatici negli uffici e la loro connessione ed integrazione ai sistemi informatici e statistici pubblici, e con la responsabilizzazione dei dipendenti.	The improvement of staff performance is also pursued through the widespread use of IT tools in offices and their connection and integration with public IT and statistical systems, and by empowering employees.	fascia
De chest vers, l ladin - enceben che mence n spezifich  patrimonie local de ciant populèr, o fosc giusta per via de  chest - à dat vita a na gran produzion leterèra che se à leà  a la mùsega te la sorts più desvalives de composizions:  da la mùsega tradizionèla per cor al ciant de gejia, dal  folk alpin a la mùsega "lijiera" de stamp pop-rock, da  la cianzon d'autor enscin adertura a l'òpera lirica.	In questo senso, il ladino - nonostante l'assenza di uno specifico  partimonio indigeno di canto popolare, o forse proprio a causa  di questa - ha da tempo generato una copiosa produzione  letteraria correlata con la composizione musicale nei generi più  disparati: dalla tradizionale musica per coro al canto liturgico,  dal folk alpino alla musica leggera di estrazione pop-rock, dalla  canzone d'autore fino addirittura all'opera lirica.	In this sense, despite the absence of a specific indigenous patrimony of folk song, or maybe for this very reason, the Ladin  language has produced a large amount of literary works connected with musical composition of the various genres: from  traditional choir to sacred music, from Alpine folk to pop-rock music, from art music even to opera.	amervolesse
L'Ospizio é stat dat deretorn più tèrt a la regola de Moena che lo rejea tres n fitadin per tradizion dit "Prior".	L'ospizio tornò più tardi alla regola di Moena che lo amministrava tramite un affittuario tradizionalmente detto "priore".	The hospice later returned to the rule of Moena, which administered it through a tenant traditionally known as 'prior'.	moena
Se festidièr, co la possiblità de delega, de la trasmiscion di ac de deliberazion a la Jonta Provinziala de Trent, atestazion de l'esecutività di provedimenc e di ac de l'Ent e, dò declarazion del suté de Comun, de desmostrèr che é stat fat la publicazion su l'albo de Comun.	Cura, con facoltà di delega, della trasmissione degli atti deliberativi alla giunta Provinciale di Trento, attestazione dell'esecutività di provvedimenti ed atti dell'Ente e, su dichiarazione del messo comunale, dell'avvenuta pubblicazione all'albo comunale. 	Handling, with power of attorney, the transmission of deliberative acts to the Provincial Council of Trento, certifying the enforceability of measures and acts of the Entity and, upon declaration of the municipal bailiff, the publication on the municipal notice board. 	moena
Tel cajo che menciassa i sorastanc o i funzionères abilité a dèr fora i ac sorascric, se soratol l'encèria l secretèr de Comun o l'Ombolt o la Jonta de Comun enscin canche no vegnarà dat fora i regolamenc dic dantfora.	In mancanza di dirigenti o funzionari abilitati ad emettere o rilasciare gli atti predetti, vi provvedono il segretario comunale o il sindaco o la Giunta comunale fino a quando non saranno emanati i regolamenti predetti. 	In the absence of managers or officials authorised to issue or issue the aforementioned acts, the municipal secretary or the mayor or the municipal council shall do so until the aforementioned regulations are issued. 	moena
L referendum à valor se a la consultazion tol pèrt amancol l 60 per cent più un del numer di litadores del Comun stabilì tel moment de la litazion.	Il referendum è valido se partecipa alla consultazione almeno il sessanta per cento più uno del numero degli elettori del Comune determinati al momento della votazione. 	The referendum is valid if at least sixty per cent plus one of the number of voters in the municipality determined at the time of the vote participate in the referendum. 	moena
Sion te paìsc.	Eccoci nel paese.	Here we are in the town.	montipallidi
Ge speta ence l'autra encèries pervedudes dal statut.	Ad esso spettano inoltre le altre attribuzioni previste dallo statuto.	It is also vested with the other powers provided for in the statute.	fascia
L Comun de Moena direzionea sia azion aldò del prinzip de defendura de la mendranza ladina pervedù te l'art. 6 de la Costituzion e te l'art. 102 del Statut Spezial, te la leges del Stat, de la Region e de la Provinzia e de la Normes de Atuazion del Statut Spezial.	Il Comune di Moena orienta la sua azione al principio di tutela della minoranza ladina ai sensi dell'art. 6 della Costituzione e dell'art. 102 dello Statuto Speciale, delle leggi statali, regionali e provinciali e delle norme di attuazione dello Statuto Speciale.	The Municipality of Moena orients its action to the principle of protection of the Ladin minority according to art. 6 of the Constitution and art. 102 of the Special Statute, of State, regional and provincial laws and of the implementation rules of the Special Statute.	moena
Te chisc tempes de mudamenc radicai, la piataformes social les à ciapà na emportanza semper più grana, ma sie pont de forza l'é chel de les saer durèr coche carenea.	In un'epoca di cambiamenti radicali, le piattaforme social hanno acquisito un ruolo progressivamente maggiore, ma il loro punto di forza sta nella capacità di usufruirne.	In an era of radical changes, social platforms have acquired a progressively greater role, but their strength lies in the ability to use them.	nevaual1
L jech digitèl col materièl de enjonta l'é a la leta su la piata.	Gioco digitale con materiale bonus disponibile sul sito.	Digital game with bonus material available at the site.	montipallidi
La Jonta ejercitea sia funzions te na forma colegiala, co la presenza de amàncol trei de si componenc, e la deliberea per solit co la stima data jù per uzèda de man; sia sentèdes é per solit secretes, semper tel respet de la publizità e de la possiblità de consultazion di ac touc sù formalmenter.	La giunta esercita le sue funzioni in forma collegiale, con la presenza di almeno tre dei suoi componenti, e delibera con voto di norma palese; le sue sedute sono di regola segrete, ferme restando la pubblicità e la possibilità di consultazione degli atti da essa formalmente adottati. 	The council exercises its functions as a body, with the presence of at least three of its members, and deliberates by open vote as a rule; its meetings are secret as a rule, subject to publicity and the possibility of consulting the acts it formally adopts. 	moena
Portan dantfora per na bona pèrt i conegnui de la Lege 482, l Decret perveit defat normes en materia de "bilinguism" che enteressa sibie la publica aministrazion che la scola; en particolèr l'é pervedù de durèr l ladin facoltati da pèrt de la jent a rejonèr e a ge scrver a la istituzions de scola e ai ofizies publics de Fascia, l'obligh de scriver jù i ac publics per ladin, la prezedenza assoluta te la gaduaoiadi concorsc e de la selezions per i candidac che desmostre la cognoscenza del lengaz ladin.	Anticipando in buona parte i contenuti della Legge 482, il Decreto prevede infatti norme in materia di "bilinguismo" che interessano sia la pubblica amministrazione che la scuola; in particolare sono previsti l'uso facoltativo del ladino da parte dei cittadini nelle comunicazioni orali e scritte con le istituzioni scolastiche e con gli uffici pubblici della val di Fassa, l'obbligo di stesura degli atti pubblici in lingua ladina, la precedenza assoluta nelle graduatorie dei concorsi e delle selezioni per i candidati che dimostrino la conoscenza della lingua ladina.	Anticipating to a large extent the contents of Law no. 482, the Decree in fact provides for regulations concerning 'bilingualism' that affect both the public administration and schools; in particular, it provides for the optional use of Ladin by citizens in oral and written communications with educational institutions and public offices in the Val di Fassa, the obligation to draw up public acts in Ladin, the absolute priority in rankings for competitions and selections for candidates who demonstrate knowledge of the Ladin language.	intervento1
La cèria de component del Consei general la va adum con chela de conseier de comun e de component di comitac de aministrazion de la frazions.	La carica di componente il Consei general è compatibile con quella di consigliere comunale e di membro dei comitati di amministrazione delle ASUC.	The office of member of the Consei General is compatible with that of municipal councillor and member of the boards of ASUCs.	fascia
I regolamenc cogn esser semper sotmetui a normes de publicazion che permete la cognosciblità efetiva.	I regolamenti devono essere comunque sottoposti a forme di pubblicità che ne consentano l'effettiva conoscibilità.	The regulations must in any case be subject to forms of publicity that allow them to be effectively known.	moena
Taa olache te veides la pìcola linies la pèrt A e la pèrt B del paesaje.	Ritaglia lungo la linea tratteggiata il lato A e lato B del paesaggio.	Cut out side A and side B of the landscape along the dotted line.	montipallidi
La sentèdes de la comiscions de consultazion, che é de obligh aldò de la leges e dai regolamenc, no é publiches. La sentèdes de l'autra Comiscions consultives é enveze publiches lascian a valer l'obligh de ge render cont e de meter a la leta del Comun i resultac del lurier, aldò de la modalitèdes pervedudes dal regolament.	Le sedute delle commissioni consultive, non previste dalle leggi e dai regolamenti come obbligatorie, sono di norma pubbliche, fermo restando l'obbligo di dare conto e di mettere a disposizione del Comune i risultati del loro lavoro, con le modalità stabilite dal regolamento.	The meetings of advisory commissions, which are not provided for by laws and regulations as compulsory, are as a rule public, subject to the obligation to give an account and make the results of their work available to the municipality, in the manner laid down in the regulations.	moena
La ordenanzes prescrites tel coma 1 cogn vegnir publichèdes per 15 dis alalèngia te l'albo de Comun demò ai fins de la cognoscenza publica.	Le ordinanze di cui al comma 1° devono essere pubblicate per 15 giorni consecutivi all'albo pretorio per il solo effetto della pubblica conoscenza.	The orders referred to in subsection 1 must be published for 15 consecutive days on the public notice board for the sole purpose of public knowledge.	moena
Per la delibrazions de la Comiscions l vegn aplicà chel che é pervedù da la lege, te l'art. 10 del Statut e tel regolament del Consei de Comun.	Per le deliberazioni delle Commissioni si applica quanto per esse previsto dalla legge, dall'art. 10 dello Statuto e dal regolamento del consiglio comunale.	The provisions of the law, Article 10 of the Statute and the Rules of Procedure of the municipal council apply to the deliberations of the committees.	moena
Col medemo regolament vegn determinà ence i criteries per dèr sù e per tor via la responsabilità de sorastanza e per dèr sù la titolarità de la strutures a fegures de sorastanza, olache l'é pervedù, o ai responsàboi; l regolament fèsc fora l temp de la encèries, i doveres de gestion aministrativa e tecnica di sorastanc, se l'é besegn de meter sù organismes de coordenament di sorastanc e di responsàboi de la strutures.	Con il medesimo regolamento sono altresì determinati i criteri per il conferimento e la revoca della responsabilità dirigenziale e per la attribuzione della titolarità delle strutture a figure dirigenziali, ove previste, o ai responsabili; il regolamento stabilisce la durata degli incarichi, i compiti di gestione amministrativa e tecnica dei dirigenti, l'eventuale costituzione di organismi di coordinamento dei dirigenti e dei responsabili delle strutture.	The same regulation also determines the criteria for conferring and revoking managerial responsibility and for assigning ownership of structures to managers, if any, or to heads of structures; the regulation determines the duration of the appointments, the administrative and technical management tasks of the managers, and the possible establishment of coordination bodies of managers and heads of structures.	fascia
L rendicont é l strument che desmostra i resultac del manejament; l tol ite l cont finanzièr e l cont patrimonial e l'é fornì de n referat aposta de la Jonta revardent la fazion del lurier fat e l stat de atuazion di programes aproé.	Il rendiconto è lo strumento che dimostra i risultati di gestione; esso comprende il conto finanziario ed il conto patrimoniale ed è corredato da apposita relazione della giunta circa l'efficacia dell'azione svolta e lo stato di attuazione dei programmi approvati.	The statement of accounts is the instrument that demonstrates the results of management; it includes the financial account and the statement of assets and liabilities and is accompanied by a report by the council on the effectiveness of the action taken and the state of implementation of the approved programmes.	moena
La modalitèdes de funzionament del Consei di ombolc, ence en cont de validità de la sescions e de la deliberazions, les vegn disciplinèdes da n regolament aproà dal Consei di ombolc medemo.	Le modalità di funzionamento del Consei di ombolc, anche riguardo alla validità delle sedute e delle deliberazioni, sono disciplinate da un regolamento approvato dal Consei di ombolc medesimo.	The modalities of the ombolc board's functioning, also with regard to the validity of its meetings and deliberations, are governed by regulations approved by the ombolc board itself.	fascia
Ge speta al Consei di ombolc la formulazion de la proponetes da sotmeter al Consei general che vèrda:  a)  l'endrez a carater generèl;  b)  i pians, i programes, i schemes de la cordanzes a carater generèl;  c)  i ac generèi per la gestion unitèra di servijes;  d)  l projet de gestion unitèra aldò del coma 4 de l'artìcol 4.	Spetta al Consei di ombolc la formulazione delle proposte da sottoporre al Consei general riguardanti:  a)  gli atti di indirizzo a carattere generale;  b)  i piani, i programmi, gli schemi delle intese a carattere generale;  c)  gli atti generali per la gestione unitaria dei servizi;  d)  il progetto di gestione unitaria di cui al comma 4 dell'articolo 4.	It is the task of the Consei di ombolc to formulate proposals to be submitted to the Consei general concerning: a) policy acts of a general nature; b) plans, programmes, outlines of agreements of a general nature; c) general acts for the unitary management of services; d) the unitary management project referred to in Article 4(4).	fascia
L fèsc i ac conservatives di deric del Comun.	Compie gli atti conservativi dei diritti del Comune.	It performs the conservative acts of the rights of the municipality.	moena
Normes generèles per l'endrez di servijes publics	Norme generali per la gestione dei servizi pubblici	General rules for the management of public services	fascia
L Procurador del Comun general vegn lità diretamenter a stima universèla te n soul colege per l teritorie de la Val de Fascia, ensema co la litazion del Consei general, dò chel che é pervedù da l'artìcol 10.	Il Procurador del Comun general è eletto direttamente a suffragio universale nell'ambito di un unico collegio per il territorio della Val di Fassa, contestualmente all'elezione del Consei general, secondo quanto previsto dall'articolo 10.	The Procurador del Comun general is directly elected by universal suffrage within a single constituency for the territory of the Val di Fassa, at the same time as the election of the Consei general, according to Article 10.	fascia
L Consei di ombolc - Jonta politica	Il Consei di ombolc - Giunta politica	The ombolc Council - Political Council	fascia
Taa fora ence i ucìe del ciel!	Ritaglia anche gli uccelli del cielo.	Cut out the birds too.	montipallidi
Desposizions en materia de bilanz e de ressorses finanzièles	Disposizioni in materia di bilancio e di risorse finanziarie 	Budgetary and Financial Resources Provisions 	fascia
Scialdi con cighes e ac i é corec  sun or del lech e i à tirà la bestia al sut.	Aa-gar recuperò per prima cosa la freccia, la lavò ben bene e la ripose sotto la pelle d'orso, assieme alle altre che non aveva adoperato.	Aa-gar first retrieved the arrow, washed it well and placed it under the bearskin, along with the others he had not used.	amervolesse
Per la litazion, vegnirà durà la modalitèdes pervedudes ti comi 1 e 2 soradic.	Per le modalità di votazione si adotteranno quelle previste ai precedenti commi 1° e 2°.	The voting modalities shall be those provided for in paragraphs 1 and 2 above.	moena
Les era più pìcoles  de n polesc, ma les fenìa co na ponta tant sotila e dura che jà tropa outes l'era stat bon de  ferir n ors da la pel desche l legn.	erano minuscole, più piccole di un pollice, ma terminavano in una cuspide talmente sottile e  dura, che già numerose volte era riuscito a ferire un orso dalla pelle dura come il legno.	were tiny, smaller than an inch, but terminated in a cusp so thin and hard that it had already managed to wound a bear with skin as tough as wood numerous times.	amervolesse
L Comun general de Fascia recognosc desche sia senta Sen Jan, jà stata senta storica de la Comunità de Fascia.	Il Comun general de Fascia riconosce come propria sede San Giovanni, già sede storica della Comunità di Fassa.	The Comun general de Fascia recognises San Giovanni, formerly the historical seat of the Community of Fassa, as its seat.	fascia
A la leta ence vèlch coleament con impianc portamont 	A disposizione anche alcuni collegamenti funiviari	Some cable car connections are also available	comunicato1015
La demiscions da conseier de Comun vegn presentèdes al Consei per iscrit; n'outa presentèdes no se les pel nia più retrèr, no les à debesegn de la touta de at e les à efet dò che l Consei à fat la sostituzion.	Le dimissioni da consigliere comunale sono presentate al consiglio per iscritto; una volta presentate, esse sono irrevocabili, non necessitano di presa d'atto e diventano efficaci una volta adottata dal consiglio comunale la relativa surrogazione, che deve avvenire entro quindici giorni dalla data di presentazione delle dimissioni.	Resignation as a municipal councillor is submitted to the council in writing; once submitted, it is irrevocable, does not need to be acknowledged and becomes effective once the municipal council has adopted the relevant subrogation, which must take place within fifteen days from the date of submission of the resignation.	moena
Tu desche frut insaorì desche fiama de ciandeila che demò con douces jentii, sciusciuranc susc' quotidians pel mie cher te tegnir viva te l'univers intim mie, te sentian in acort, tei egn te la vita tremer daite.	Tu come frutto saporito come fiamma di candela che con solo dolci soavi, sussurranti aliti quotidiani può il mio cuore tenerti viva nell'universo intimo mio, sentendoti nel silenzio negli anni nella vita tremare dentro.	You are like a savouring fruit like a candle flame only with  sweet gentle, whispering daily sighs my heart can keep you alive in the intimate universe of mine, feeling you  trembling inside in silence, through the years in life.	amervolesse
Coscita i ge l'aessa fata al nès del stambech: apontin co l'odor de sia chègoles!	Ecco con che cosa avrebbero imbrogliato il naso dello stambecco: con l'odore dei suoi stessi  escrementi!	That's what they would have cheated the ibex's nose with: the smell of its own excrement!	amervolesse
La restruturazion del sit Internet e de la piates de Facebook e Instagram la era anter la prioritèdes del Comitat.	Il rinnovo del sito e delle piattaforme Facebook e Instagram erano tra le priorità del Comitato.	The renewal of the website and the Facebook and Instagram platforms were among the priorities of the Committee.	nevaual1
Aa-gar e sie fi i era rué sai doi leghes canche l soreie l'era jà dò che l tocèa la pontes più autes  di "Monc-che-se-entenc-de-sanch".	Aa-gar e suo figlio erano giunti in vista dei due laghi quando il sole stava già toccando le cime  più alte delle "Montagne che si tingono di sangue".	Aa-gar and his son had come in sight of the two lakes when the sun was already touching the highest peaks of the 'Bloodstained Mountains'.	amervolesse
L'ejaminazion e descuscion de enterogazions, de domandes, e de autra mozions e órdegn del dì presenté dai conseieres, aldò de la modalitèdes del regolament del Consei de Comun.	L'esame ed alla discussione di interrogazioni ed interpellanze, nonché alle determinazioni inerenti le altre mozioni e gli ordini del giorno presentati dai consiglieri, secondo le modalità del regolamento del consiglio comunale.	The examination and discussion of questions and interpellations, as well as determinations concerning other motions and agendas submitted by councillors, in accordance with the Rules of Procedure of the municipal council.	moena
Dò da na pruma ocupazion entravegnuda tel mèrz del 1797, la Comunità de Fiem à bele cognù zeder ai franzousc te l'invern 1800-1801.	Subita una prima occupazione nel marzo del 1797, la Comunità di Fiemme dovette cedere ai Francesi nell'inverno 1800-1801.	After an initial occupation in March 1797, the Community of Fiemme had to surrender to the French in the winter of 1800-1801.	moena
Mateete con tie nef jech de papier!	Gioca con il tuo nuovo paesaggio di carta!	Play with your new paper landscape!	montipallidi
Passà chest térmen zenza che l consei de comun abie provedù, l Consei general vegn metù sù e l'é valévol.	Trascorso tale termine senza che il consiglio comunale abbia provveduto, il Consei general è validamente costituito.	After this period has elapsed without the municipal council having done so, the Consei General is validly constituted.	fascia
Soraldut, i sorastanc e i funzionères se festidiea, aldò di regolamenc e sot l coordenament o dò delega del secretèr de Comun de curèr l'atuazion de la delibrazions di organs de goern.	In particolare, i dirigenti ed i funzionari provvedono, secondo i regolamenti e sotto il coordinamento o previa delega del segretario comunale a curare l'attuazione delle deliberazioni degli organi di governo.	In particular, managers and officials see to the implementation of the resolutions of the governing bodies according to the regulations and under the coordination or delegation of the municipal secretary.	moena
L'esperienza del portel zentralisà	L'esperienza dello sportello  centralizzato	The centralised counter experience	intervento1
L conzet de prezedenza te la assunzions per l personèl ensegnant te la Scolines en possess di medemi requisic l'era stat jà perauter pervedù da la Provinzia Autonoma de Trent co l'aproazion de l'art. 21 de la Lege Provinzièla n. 13 del 1977 ("Ordenamen de la scolina de la Provinzia autonoma de Trent").	Il concetto di precedenza nelle assunzioni per il personale insegnante nelle Scuole dell'Infanzia in possesso degli stessi requisiti era stato già peraltro previsto dalla Provincia Autonoma di Trento con l'approvazione dell'art. 21 della Legge Provinciale n. 13 del 1977 ("Ordinamento della scuola dell'infanzia della Provincia autonoma di Trento").	The concept of precedence in recruitment for teaching staff in pre-schools meeting the same requirements had already been envisaged by the Autonomous Province of Trento with the approval of Article 21 of Provincial Law No. 13 of 1977 ("Ordering of pre-schools in the Autonomous Province of Trento").	intervento1
